level,exp
1,0
2,20
3,70
4,170
5,290
6,440
7,620
8,820
9,1024
10,1232
11,1444
12,1661
13,1882
14,2107
15,2337
16,2571
17,2810
18,3054
19,3302
20,3556
21,3815
22,4079
23,4348
24,4622
25,4902
26,5188
27,5479
28,5777
29,6080
30,6389
31,6704
32,7026
33,7354
34,7689
35,8030
36,8378
37,8734
38,9096
39,9465
40,9842
41,10227
42,10619
43,11019
44,11427
45,11843
46,12267
47,12700
48,13142
49,13592
50,14052
51,14521
52,14999
53,15486
54,15983
55,16491
56,17008
57,17536
58,18074
59,18623
60,19183
61,19755
62,20337
63,20932
64,21538
65,22156
66,22787
67,23430
68,24087
69,24756
70,25439
71,26135
72,26845
73,27570
74,28309
75,29063
76,29831
77,30616
78,31415
79,32231
80,33064
81,33913
82,34778
83,35662
84,36562
85,37481
86,38418
87,39374
88,40349
89,41344
90,42359
91,43393
92,44449
93,45525
94,46623
95,48744
96,50886
97,52051
98,54240
99,58452
100,60689
