pactid,result,weight
C1,3,1
C1,4,0.6
C1,7,1
C1,9,1
C1,10,1
C1,12,1
C1,14,1
C1,16,1
C1,17,1
C1,18,0
C1,21,0
C1,25,0.6
C1,27,0.6
C1,28,1
C1,31,0.6
C1,35,1
C1,36,0.6
C1,37,1
C1,38,0.6
C1,44,1
C1,45,1
C1,55,1
C1,62,0.6
C1,64,1
C1,66,1
C1,83,0.6
C1,91,1
C1,93,1
C1,101,0.6
C1,103,0.6
C1,104,0.6
C1,134,0
C1,135,0.6
C1,136,0.6
C1,139,0.6
C1,178,0
C1,193,0
C1,194,0
C1,223,0
C1,225,0
C1,252,0
C1,265,0
C1,278,0
C1,287,0
C1,289,0
C1,293,0
C1,373,0
C1,375,0
C1,377,0
C1,396,0
C1,415,0
C1,519,0
C1,520,0
C1,545,0
C1,772,0
C1,10134,0
C2,10003,1
C2,10004,0.6
C2,10007,1
C2,10009,1
C2,10010,1
C2,10012,1
C2,10014,1
C2,10016,1
C2,10017,1
C2,10018,0
C2,10021,0
C2,10025,0.6
C2,10027,0.6
C2,10028,1
C2,10031,0.6
C2,10035,1
C2,10036,0.6
C2,10037,1
C2,10038,0.6
C2,10044,1
C2,10045,1
C2,10055,1
C2,10062,0.6
C2,10064,1
C2,10066,1
C2,10083,0.6
C2,10091,1
C2,10093,1
C2,10101,0.6
C2,10103,0.6
C2,10104,0.6
C2,10135,0.6
C2,10136,0.6
C2,10139,0.6
C2,10178,0
C2,10223,0
C2,10225,0
C2,10252,0
C2,10265,0
C2,10278,0
C2,10287,0
C2,10289,0
C2,10293,0
C2,10373,0
C2,10375,0
C2,10377,0
C2,10396,0
C2,10415,0
C2,10519,0
C2,10520,0
C2,10545,0
C2,10772,0
EP1,22,0
EP1,57,0
EP1,99,0
EP1,100,0
EP1,107,1
EP1,111,0
EP1,112,0
EP1,119,0
EP1,120,0
EP1,121,0
EP1,122,0
EP1,123,0
EP1,124,0
EP1,125,0
EP1,126,0
EP1,127,0
EP1,128,0
EP1,131,0
EP1,132,0
EP1,160,0
EP1,161,0
EP1,177,1
EP1,199,0
EP1,200,0
EP1,201,0
EP1,301,0
EP1,402,0
EP1,403,0
EP1,457,0
EP1,523,0
EP1,530,0
EP1,533,0
EP1,534,0
EP1,535,0
EP1,536,0
EP1,580,0
EP1,604,0
EP1,628,0
EP1,632,0
EP1,652,0
EP1,681,0
EP1,684,0
EP1,685,0
EP1,688,0
EP1,692,0
EP1,694,0
EP1,706,0
EP1,710,0
EP1,717,0
EP1,791,0
EP1,808,0
EP1,810,0
EP1,811,0
EP1,854,0
EP1,863,0
EP1,889,0
EP1,967,0
EP1,10133,0
EP2,693,0
EP2,695,0
EP2,10022,0
EP2,10057,0
