id,name,rarity,cardtype,battleExp,price,hasbossimage,basehp,baseatk,basedef,basewis,baseagi,maxhp,maxatk,maxdef,maxwis,maxagi,maxlevel,growtype,skillid1,skillid2,evolution,maxevloution,cantrade,materialexp,peHP,peATK,peDEF,peWIS,peAGI,display
1,铠甲守卫,2,1,53,2600,0,1050,830,1150,1190,980,2620,2070,2870,2970,2460,40,2,50,0,1,2,0,45,3120,2570,3370,3470,2960,1
2,邪恶火法师,2,1,53,2600,0,1030,1120,1090,970,990,2580,2800,2720,2430,2490,40,2,40,0,1,2,0,45,3080,3300,3220,2930,2990,0
3,木乃伊枪兵,1,1,33,440,0,410,410,350,490,530,1650,1620,1400,1970,2110,30,2,53,0,1,4,0,9,2150,2120,1900,2470,2610,1
4,空虚公子,1,1,34,520,0,520,540,490,500,570,2070,2150,1940,1980,2280,30,2,51,0,1,4,0,9,2570,2650,2440,2480,2780,1
5,傀儡护卫,2,1,54,2900,0,1120,1240,1190,1110,1140,2790,3100,2970,2770,2840,40,2,52,0,1,4,0,45,3290,3600,3470,3270,3340,1
6,巨斧山贼,2,1,52,2350,0,920,960,1010,920,890,2310,2390,2520,2300,2230,40,2,45,0,3,4,0,45,3375,3505,3622,3386,3314,1
7,斑斓毒虫,1,1,33,440,0,440,360,500,490,420,1760,1420,1980,1960,1660,30,2,54,0,1,2,0,9,2260,1920,2480,2460,2160,1
8,神医 托纳婆多利,3,1,104,8880,0,2460,2580,2790,2400,2450,5600,5860,6330,5450,5570,70,3,26,0,1,2,1,90,6100,6360,6830,5950,6070,1
9,狐狸骑士,1,1,34,470,0,480,460,420,390,590,1930,1850,1670,1560,2380,30,2,52,0,1,4,0,9,2430,2350,2170,2060,2880,1
10,灵象使者,1,1,34,470,0,430,560,350,560,460,1720,2220,1390,2220,1820,30,2,55,0,1,2,0,9,2220,2720,1890,2720,2320,1
11,莲花童子 哪咤,4,1,172,17380,1,3180,3970,2690,4090,3450,6350,7930,5380,8170,6900,99,1,18,0,3,4,1,1000,8091,9860,6884,10130,8676,1
12,沙漠力士,1,1,33,440,0,420,450,450,420,470,1670,1790,1780,1670,1870,30,2,64,0,1,4,0,9,2170,2290,2280,2170,2370,1
13,正义女神 雅典娜,4,1,172,17100,0,3120,3220,3390,3950,3420,6240,6430,6780,7900,6850,99,1,60,0,3,4,1,1000,7813,8206,8537,9797,8628,1
14,邪恶人鱼,1,1,33,440,0,410,360,500,530,420,1650,1420,2010,2140,1670,30,2,55,0,1,4,0,9,2150,1920,2510,2640,2170,1
15,格里姆,3,1,102,8020,0,2130,1790,2710,2600,2220,4840,4060,6170,5920,5050,70,3,63,0,1,4,1,90,5340,4560,6670,6420,5550,1
16,蛤蟆守卫,1,1,33,450,0,410,480,480,440,420,1640,1930,1920,1780,1680,30,2,53,0,1,2,0,9,2140,2430,2420,2280,2180,1
17,毒液哥布林,1,1,34,470,0,470,430,350,550,540,1880,1730,1390,2200,2140,30,2,54,0,1,4,0,9,2380,2230,1890,2700,2640,1
18,独眼小僧,1,1,34,470,0,440,470,360,540,530,1750,1880,1440,2150,2140,30,2,51,0,1,4,0,9,2250,2380,1940,2650,2640,0
19,独眼巨人,2,1,55,3090,1,1320,1550,1190,1050,1070,3310,3870,2970,2630,2670,40,2,45,0,3,4,0,45,4402,5092,4051,3635,3687,1
20,金轮战将,2,1,53,2600,0,1110,970,930,900,1290,2780,2420,2310,2260,3230,40,2,58,0,1,4,0,45,3280,2920,2810,2760,3730,1
21,蹩脚斗士,1,1,33,450,0,430,400,350,520,530,1730,1620,1410,2070,2130,30,2,52,0,1,2,0,9,2230,2120,1910,2570,2630,0
22,鬼魅 夜叉,4,5,165,12420,0,2350,2630,2660,2460,2320,4610,5170,5230,4840,4560,99,2,5,33,1,2,1,1000,5110,5670,5730,5340,5060,0
23,火焰兽 乌科巴克,3,5,98,6200,0,1690,1870,1910,1680,1710,3810,4200,4310,3790,3840,70,1,23,0,1,2,1,90,4310,4700,4810,4290,4340,1
