id,name,comment,type,cantrade,tradepoint,spritename
1,回體藥,回復全部體力值,0,1,0.2,iconCalabash
2,回血藥,回復全部HP,0,1,0.05,iconMedicalHerb
3,復活藥,復活一名隊員,0,1,0.6,iconHolyWater
4,大回血藥,回復全體隊員,0,1,0.4,
5,大抓怪藥,100%抓取打到的怪物,0,1,0.4,iconCatchPowderBig
6,小抓怪藥,一定幾率抓取,0,0,0,iconCatchPowderSmall
7,銅幣,抽怪物,0,0,0,iconCrystalLv1
8,銀幣,,0,0,0,iconCrystalLv2
9,紅幣,,0,0,0,iconCrystalLv3
10,小號角,回復一點戰力,0,0,0,iconConchSmall
11,大號角,回滿戰力,0,1,0.2,iconConchBig
12,任務幣,抽怪物,0,0,0,iconCrystalSpecial
13,HP水晶,增加50點HP,0,1,0,
14,ATK水晶,增加50點ATK,0,1,0,
15,AGI水晶,增加50點AGI,0,1,0,
16,DEF水晶,增加50點DEF,0,1,0,
17,WIS水晶,增加50點WIS,0,1,0,
18,小錢袋,,1,0,0,
19,大錢袋,,1,0,0,iconMoneyBagLv2
20,寶箱,,2,0,0,iconTreasureLv2
21,金屬箱,,2,0,0,iconTreasureBoxLv3
