zoneID,rewardeventID,item%,monster%,event%,wood%,treasure%,chest%,littlegold%,biggold%,woodprobabilityID,treasureprobabilityID,chestprobabilityID,monster1ID,monster2ID,monster3ID,monster4ID,monster5ID,monster6ID,monster7ID,monster8ID,monster9ID,monster10ID,event1ID,event1%,event2ID,event2%,event3ID,event3%,event4ID,event4%,event5ID,event5%,mapevent1ID,mapevent2ID,mapevent3ID,mapevent4ID,mapevent5ID
50101,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50201,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50301,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50401,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50402,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50403,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50404,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50405,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50501,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50502,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50503,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50504,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50505,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50601,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50602,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50603,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50604,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
50605,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
60101,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
60102,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
60103,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
60104,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
60105,50101,0.2,0.4,0.05,0.3,0.2,0.1,0.3,0.1,1,2,3,1,2,0,0,0,0,0,0,0,0,1,25,5001,25,4,50,0,0,0,0,501011,501012,501013,0,0
