zoneID,resourceId,bgmID,battleBgId,rewardeventID,itemProb,monsterProb,onlyitemProb,onlymonsterProb,eventProb,PVPProb,woodProb,treasureProb,chestProb,littlegoldProb,biggoldProb,woodprobabilityID,treasureprobabilityID,chestprobabilityID,monster1ID,monster2ID,monster3ID,monster4ID,monster5ID,monster6ID,monster7ID,monster8ID,monster9ID,monster10ID,event1ID,event1Prob,event2ID,event2Prob,event3ID,event3Prob,event4ID,event4Prob,event5ID,event5Prob,enterzonerdialogueID,completezonedialogueID
990101,99,0,bgBattle02,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99010101,0
10001,1,0,bgBattle05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000101,1000115
10002,1,0,bgBattle05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000201,1000212
10101,1,0,bgBattle05,10101,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10101,10102,10103,0,0,0,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1010101,0
10102,1,0,bgBattle05,10102,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10104,10105,10106,10107,10108,0,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10103,1,0,bgBattle05,10103,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10109,10110,10111,10112,10113,0,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1010301,0
10104,1,0,bgBattle05,10104,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10114,10115,10116,10117,10118,0,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1010401,0
10105,1,0,bgBattle05,10105,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10109,10110,10111,10112,10113,10114,10115,10116,10117,10118,1,0.25,1001,0.25,2,0.5,0,0,0,0,1010501,0
10201,1,0,bgBattle05,10201,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10201,10202,10203,10204,0,0,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1020101,0
10202,1,0,bgBattle05,10202,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10203,10204,10205,10206,10207,10208,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10203,1,0,bgBattle05,10203,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10207,10208,10209,10210,10211,10212,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10204,1,0,bgBattle05,10204,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10211,10212,10213,10214,10215,10216,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10205,1,0,bgBattle05,10205,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10215,10216,10217,10218,10219,10220,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10301,1,0,bgBattle05,10301,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10301,10302,10303,10304,0,0,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1030101,0
10302,1,0,bgBattle05,10302,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10303,10304,10305,10306,10307,10308,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10303,1,0,bgBattle05,10303,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10307,10308,10309,10310,10311,10312,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10304,1,0,bgBattle05,10304,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10311,10312,10313,10314,10315,10316,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10305,1,0,bgBattle05,10305,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10315,10316,10317,10318,10319,10320,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10401,1,0,bgBattle05,10401,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10401,10402,10403,10404,0,0,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1040101,0
10402,1,0,bgBattle05,10402,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10403,10404,10405,10406,10407,10408,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1040201,0
10403,1,0,bgBattle05,10403,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10407,10408,10409,10410,10411,10412,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10404,1,0,bgBattle05,10404,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10411,10412,10413,10414,10415,10416,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1040401,0
10405,1,0,bgBattle05,10405,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10415,10416,10417,10418,10419,10420,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1040501,0
10501,1,0,bgBattle05,10501,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10501,10502,10503,10504,0,0,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10502,1,0,bgBattle05,10502,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10503,10504,10505,10506,10507,10508,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10503,1,0,bgBattle05,10503,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10507,10508,10509,10510,10511,10512,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,1050301,0
10504,1,0,bgBattle05,10504,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10511,10512,10513,10514,10515,10516,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
10505,1,0,bgBattle05,10505,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,10515,10516,10517,10518,10519,10520,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,0,0
20101,2,0,bgBattle07,20101,0.2,0.4,0.6,0.6,0,0.08,0.5,0.2,0.15,0.1,0.05,101,201,301,20101,20102,20103,20104,0,0,0,0,0,0,1,0.25,1001,0.25,2,0.5,0,0,0,0,2010101,0
