pactid,result,weight
C1,3,1
C1,4,0.6
C1,7,1
C1,9,1
C1,10,1
C1,12,1
C1,14,1
C1,16,1
C1,17,1
C1,18,0
C1,21,1
C1,25,0.6
C1,27,0.6
C1,28,1
C1,31,0.6
C1,35,1
C1,36,0.6
C1,37,1
C1,38,0.6
C1,44,1
C1,45,1
C1,55,1
C1,62,0.6
C1,64,1
C1,66,1
C1,83,0.6
C1,91,1
C1,93,1
C1,101,0.6
C1,103,0.6
C1,104,0.6
C1,129,0
C1,134,0
C1,135,0.6
C1,136,0.6
C1,139,0.6
C1,178,0
C1,193,0
C1,194,0
C1,223,0
C1,225,0
C1,252,0
C1,265,0
C1,278,0
C1,287,0
C1,289,0
C1,293,0
C1,373,0
C1,375,0
C1,377,0
C1,396,0
C1,415,0
C1,10134,0
C2,10003,1
C2,10004,0.6
C2,10007,1
C2,10009,1
C2,10010,1
C2,10012,1
C2,10014,1
C2,10016,1
C2,10017,1
C2,10018,0
C2,10021,0
C2,10025,0.6
C2,10027,0.6
C2,10028,1
C2,10031,0.6
C2,10035,1
C2,10036,0.6
C2,10037,1
C2,10038,0.6
C2,10044,1
C2,10045,1
C2,10055,1
C2,10062,0.6
C2,10064,1
C2,10066,1
C2,10083,0.6
C2,10091,1
C2,10093,1
C2,10101,0.6
C2,10103,0.6
C2,10104,0.6
C2,10135,0.6
C2,10136,0.6
C2,10139,0.6
C2,10178,0
C2,10223,0
C2,10225,0
C2,10252,0
C2,10265,0
C2,10278,0
C2,10287,0
C2,10289,0
C2,10293,0
C2,10373,0
C2,10375,0
C2,10377,0
C2,10396,0
C2,10415,0
EP1,22,0
EP1,57,0
EP1,99,0
EP1,100,0
EP1,107,1
EP1,111,0
EP1,112,0
EP1,119,0
EP1,120,0
EP1,121,0
EP1,122,0
EP1,123,0
EP1,124,0
EP1,125,0
EP1,126,0
EP1,127,0
EP1,128,0
EP1,131,0
EP1,132,0
EP1,160,0
EP1,161,0
EP1,177,1
EP1,199,0
EP1,200,0
EP1,201,0
EP1,301,0
EP1,402,0
EP1,403,0
EP1,457,0
EP1,523,0
EP1,604,0
EP1,628,0
EP1,652,0
EP1,10133,0
EP2,10022,0
EP2,10057,0
EP2,10099,0
EP2,10100,0
EP2,10107,1
EP2,10111,0
EP2,10112,0
EP2,10177,1
EP2,10523,0
EP2,10604,0
EP2,10628,0
EP2,10652,0
EP3,11,0.5
EP3,13,0.8
EP3,72,0.8
EP3,75,0.5
EP3,78,0.8
EP3,88,0.3
EP3,89,0
EP3,156,1
EP3,181,0.8
EP3,182,0.5
EP3,183,1
EP3,184,0.5
EP3,185,0
EP3,186,0.5
EP3,187,1
EP3,190,0.8
EP3,191,0.8
EP3,192,0.5
EP3,206,0
